STEP,V
0,1000.0000
1000,999.9862
2000,999.9739
3000,999.9640
4000,999.9514
5000,999.9403
6000,999.9268
7000,999.9127
8000,999.8998
9000,999.8845
10000,999.8695
11000,999.8536
12000,999.8368
13000,999.8203
14000,999.8032
15000,999.7879
16000,999.7723
17000,999.7546
18000,999.7396
19000,999.7270
20000,999.7114
21000,999.6958
22000,999.6800
23000,999.6659
24000,999.6503
25000,999.6359
26000,999.6218
27000,999.6071
28000,999.5876
29000,999.5738
30000,999.5597
