STEP,V
0,1000.0000
1000,999.9838
2000,999.9649
3000,999.9520
4000,999.9373
5000,999.9220
6000,999.9058
7000,999.8953
8000,999.8788
9000,999.8623
10000,999.8488
11000,999.8362
12000,999.8179
13000,999.8023
14000,999.7852
15000,999.7681
16000,999.7501
17000,999.7384
18000,999.7177
19000,999.7027
20000,999.6898
21000,999.6758
22000,999.6629
23000,999.6491
24000,999.6332
25000,999.6170
26000,999.6047
27000,999.5900
28000,999.5738
29000,999.5591
30000,999.5438
