STEP,V
0,1000.0000
1000,999.9835
2000,999.9700
3000,999.9556
4000,999.9421
5000,999.9283
6000,999.9133
7000,999.8941
8000,999.8812
9000,999.8677
10000,999.8524
11000,999.8374
12000,999.8224
13000,999.8029
14000,999.7861
15000,999.7714
16000,999.7600
17000,999.7447
18000,999.7270
19000,999.7099
20000,999.6922
21000,999.6761
22000,999.6605
23000,999.6458
24000,999.6284
25000,999.6155
26000,999.6017
27000,999.5915
28000,999.5771
29000,999.5615
30000,999.5498
