STEP,V
0,1000.0000
1000,999.9862
2000,999.9664
3000,999.9544
4000,999.9388
5000,999.9232
6000,999.9112
7000,999.8971
8000,999.8821
9000,999.8683
10000,999.8545
11000,999.8386
12000,999.8236
13000,999.8041
14000,999.7903
15000,999.7771
16000,999.7618
17000,999.7426
18000,999.7228
19000,999.7054
20000,999.6904
21000,999.6764
22000,999.6623
23000,999.6455
24000,999.6290
25000,999.6152
26000,999.5990
27000,999.5831
28000,999.5684
29000,999.5489
30000,999.5357
