STEP,E
0,9487.5826
1000,-78.9110
2000,-122.9676
3000,-152.4996
4000,-158.2140
5000,-173.6754
6000,-183.7060
7000,-193.7354
8000,-199.5485
9000,-201.4975
10000,-204.1387
11000,-208.9595
12000,-209.8691
13000,-210.5223
14000,-211.6276
15000,-213.0364
16000,-214.7800
17000,-215.3192
18000,-216.1045
19000,-216.2263
20000,-217.3362
21000,-217.6431
22000,-217.8775
23000,-220.3011
24000,-221.3951
25000,-222.1583
26000,-222.8360
27000,-223.3474
28000,-224.0356
29000,-224.0358
30000,-225.0476
