STEP,E
0,13053.7905
1000,573.8200
2000,99.2433
3000,97776.9124
4000,1542.4613
5000,35.1796
6000,-15.0309
7000,-14.6667
8000,1586.3302
9000,82.9090
10000,1000840.9547
11000,0.3803
12000,1675.5461
13000,502.3802
14000,470.9017
15000,6527.2226
16000,11.9815
17000,10.4292
18000,-2.1343
19000,32865.0403
20000,71541.0177
21000,162.2411
22000,23010.8043
23000,1290081.5359
24000,15848.1409
25000,1314.0027
26000,925.1827
27000,39.0311
28000,7479.4487
29000,7918.3310
30000,12235.1582
