STEP,V
0,1000.0000
1000,999.9877
2000,999.9724
3000,999.9586
4000,999.9448
5000,999.9274
6000,999.9139
7000,999.8989
8000,999.8848
9000,999.8689
10000,999.8557
11000,999.8362
12000,999.8233
13000,999.8089
14000,999.7942
15000,999.7762
16000,999.7630
17000,999.7447
18000,999.7309
19000,999.7168
20000,999.7018
21000,999.6862
22000,999.6752
23000,999.6611
24000,999.6434
25000,999.6263
26000,999.6149
27000,999.5996
28000,999.5855
29000,999.5696
30000,999.5576
