STEP,V
0,1000.0000
1000,999.9865
2000,999.9727
3000,999.9568
4000,999.9433
5000,999.9268
6000,999.9148
7000,999.8938
8000,999.8764
9000,999.8617
10000,999.8464
11000,999.8317
12000,999.8158
13000,999.8023
14000,999.7843
15000,999.7690
16000,999.7513
17000,999.7348
18000,999.7210
19000,999.7069
20000,999.6919
21000,999.6785
22000,999.6653
23000,999.6509
24000,999.6338
25000,999.6182
26000,999.6023
27000,999.5870
28000,999.5687
29000,999.5507
30000,999.5333
