STEP,E
0,25794.5954
1000,103.1483
2000,103.1530
3000,103.1585
4000,103.1631
5000,103.1688
6000,103.1729
7000,103.1801
8000,103.1861
9000,103.1912
10000,103.1964
11000,103.2015
12000,103.2069
13000,103.2116
14000,103.2178
15000,103.2230
16000,103.2291
17000,103.2348
18000,103.2395
19000,103.2444
20000,103.2495
21000,103.2542
22000,103.2587
23000,103.2637
24000,103.2696
25000,103.2749
26000,103.2804
27000,103.2857
28000,103.2919
29000,103.2981
30000,103.3041
