STEP,E
0,13.8923
1000,-61.1465
2000,-87.9476
3000,-102.2173
4000,-107.7412
5000,-119.5443
6000,-124.5161
7000,-127.4942
8000,-131.2662
9000,-132.7135
10000,-132.9202
11000,-133.8606
12000,-134.6435
13000,-135.4362
14000,-137.4175
15000,-138.5555
16000,-139.2203
17000,-139.7075
18000,-139.9471
19000,-140.8904
20000,-141.0988
21000,-141.3596
22000,-141.4902
23000,-141.7284
24000,-142.7831
25000,-142.8351
26000,-143.2129
27000,-143.5652
28000,-143.7095
29000,-143.8163
30000,-143.9331
