STEP,E
0,167.6579
1000,1863.9995
2000,101.7188
3000,-18.6229
4000,31.2848
5000,-13.8066
6000,-18.2517
7000,1557.7901
8000,8.5710
9000,-14.0163
10000,606.9177
11000,1488.1345
12000,560.2830
13000,182.5869
14000,1016.0379
15000,30.0751
16000,-14.2620
17000,7.6465
18000,159.1979
19000,0.5869
20000,109.0290
21000,57.4817
22000,2395.7595
23000,527.7546
24000,1081.1581
25000,2772.4441
26000,34.6126
27000,316.8337
28000,19.2051
29000,1819.4954
30000,-12.9019
