STEP,E
0,-9.0226
1000,3.8305
2000,54.2421
3000,-16.8951
4000,-19.7427
5000,-4.8723
6000,144.8499
7000,-18.6984
8000,-12.1794
9000,4.1078
10000,-8.7720
11000,-13.2899
12000,-17.8819
13000,20.2536
14000,4.1272
15000,163.6243
16000,-17.5778
17000,2.1263
18000,-13.5376
19000,-18.1827
20000,-12.1660
21000,-0.9737
22000,61.3765
23000,4.3514
24000,41.3828
25000,-23.2058
26000,9.8407
27000,131.9534
28000,-18.8252
29000,-12.8743
30000,-20.9016
