STEP,V
0,1000.0000
1000,999.9832
2000,999.9667
3000,999.9526
4000,999.9379
5000,999.9238
6000,999.9121
7000,999.8956
8000,999.8815
9000,999.8662
10000,999.8494
11000,999.8323
12000,999.8194
13000,999.8074
14000,999.7888
15000,999.7765
16000,999.7627
17000,999.7441
18000,999.7342
19000,999.7222
20000,999.7087
21000,999.6970
22000,999.6827
23000,999.6668
24000,999.6512
25000,999.6362
26000,999.6242
27000,999.6080
28000,999.5945
29000,999.5747
30000,999.5549
