STEP,X,Y,Z
27,6.8270,3.1549,3.3311
28,6.8541,5.9425,4.7634
29,5.8828,2.5280,4.5709
30,6.6690,4.2203,6.0846
31,7.6255,4.8549,4.9810
32,4.0030,4.2500,4.9157
33,5.0534,3.5183,4.1373
34,5.3175,5.3444,4.0682
35,2.2201,5.2310,3.7263
36,6.2616,3.5473,4.4065
37,3.4499,6.0289,4.6704
38,4.4442,4.3220,3.9122
39,5.2080,4.2472,5.0854
0,7.3801,3.8932,4.9541
1,8.7518,4.2183,3.4324
2,3.1315,4.4778,3.9709
3,5.6406,3.4946,3.0855
4,2.7819,5.8065,3.0094
5,1.3760,6.0089,3.0999
6,4.5245,3.2747,3.1271
7,7.6805,3.7280,3.8043
8,3.6507,3.9615,3.1109
9,7.7570,3.7003,2.7029
10,7.6613,5.1896,3.8665
11,4.5480,3.3846,5.1554
12,5.9321,5.8551,5.2552
13,6.9647,4.4329,4.1202
14,1.2486,7.4197,3.9523
15,5.3210,2.5264,3.5624
16,5.2553,4.4346,3.3159
17,6.6975,4.2180,3.0488
18,2.1410,6.8803,3.3849
19,4.6619,5.5811,4.8644
20,6.3628,4.8367,5.0278
21,3.7967,4.9489,2.7255
22,8.3670,4.1861,4.5338
23,3.9563,5.3226,3.7232
24,6.4282,5.3039,3.7567
25,1.6266,6.1854,4.1469
26,3.8701,3.3809,4.1418
27,6.8269,3.1548,3.3311
28,6.8804,5.8145,4.7421
29,5.8827,2.5280,4.5708
30,6.6689,4.2203,6.0845
31,7.6255,4.8549,4.9809
32,4.0030,4.2500,4.9157
33,5.0533,3.5183,4.1373
34,5.3174,5.3443,4.0682
35,2.2201,5.2310,3.7263
36,6.2594,3.5845,4.3867
37,3.3403,5.5372,4.7838
38,4.4442,4.3220,3.9122
39,5.2080,4.2472,5.0854
0,7.3801,3.8932,4.9541
1,8.7517,4.2182,3.4324
2,3.1315,4.4778,3.9709
3,5.6406,3.4946,3.0855
4,2.7819,5.8065,3.0094
5,2.6808,6.6700,4.5385
6,4.5245,3.2747,3.1271
7,7.6805,3.7280,3.8043
8,3.6507,3.9615,3.1109
9,7.7570,3.7003,2.7029
10,7.6613,5.1895,3.8665
11,4.5480,3.3846,5.1554
12,5.8028,5.7124,4.9365
13,6.9646,4.4328,4.1202
14,3.1869,7.2168,3.5445
15,5.3210,2.5264,3.5624
16,5.2553,4.4346,3.3158
17,6.6974,4.2180,3.0488
18,4.8915,6.3554,3.8611
19,4.6619,5.5811,4.8644
20,6.3628,4.8367,5.0278
21,3.7979,4.9500,2.7251
22,8.3670,4.1861,4.5338
23,3.9563,5.3225,3.7232
24,6.4281,5.3039,3.7567
25,2.7787,4.8510,2.0796
26,3.8701,3.3808,4.1418
27,6.6525,2.9604,3.5441
28,6.8804,5.8145,4.7421
29,5.8130,2.5840,4.5634
30,6.6689,4.2203,6.0845
31,7.5957,4.8884,4.9929
32,4.0706,4.3304,4.9772
33,5.0533,3.5183,4.1373
34,5.4803,4.9937,4.1210
35,2.2201,5.2310,3.7263
36,6.2594,3.5845,4.3867
37,3.3403,5.5372,4.7838
38,4.4442,4.3220,3.9122
39,5.2080,4.2472,5.0853
0,7.3817,3.8915,4.9597
1,8.7517,4.2182,3.4324
2,3.1314,4.4778,3.9709
3,5.7366,3.5658,3.1945
4,3.7824,3.9594,2.1032
5,6.2839,5.8486,2.9131
6,4.5244,3.2747,3.1270
7,7.6805,3.7280,3.8042
8,3.6507,3.9615,3.1109
9,7.7570,3.7003,2.7029
10,7.6612,5.1895,3.8665
11,4.5479,3.3845,5.1554
12,5.7666,5.7642,4.7272
13,6.9646,4.4328,4.1202
14,2.5390,3.7827,2.7909
15,5.3210,2.5264,3.5624
16,5.3389,4.7691,3.1098
17,6.6974,4.2180,3.0488
18,4.8915,6.3553,3.8611
19,4.6619,5.5811,4.8644
20,6.3628,4.8367,5.0277
21,3.7978,4.9500,2.7251
22,8.3667,4.1859,4.5370
23,3.9563,5.3225,3.7232
24,6.4281,5.3039,3.7567
25,2.4801,4.9546,2.7695
26,3.8701,3.3808,4.1418
27,6.6647,2.9616,3.5422
28,6.8804,5.8145,4.7421
29,5.8130,2.5840,4.5633
30,5.9303,4.4168,2.3275
31,7.5678,4.9461,5.0778
32,4.0706,4.3304,4.9772
33,5.0533,3.5182,4.1373
34,5.4803,4.9937,4.1209
35,4.0215,5.5966,5.8957
36,6.2594,3.5845,4.3867
37,3.3403,5.5371,4.7838
38,4.4238,4.3318,3.9129
39,5.1824,4.2190,4.9606
0,7.2221,3.7129,4.8187
1,5.8687,2.4211,2.7799
2,3.1314,4.4778,3.9709
3,5.7366,3.5658,3.1945
4,5.4719,5.7483,2.6066
5,6.5644,3.7094,5.7410
6,4.5244,3.2747,3.1270
7,7.6804,3.7280,3.8042
8,3.6507,3.9615,3.1109
9,7.7569,3.7003,2.7029
10,7.6612,5.1895,3.8665
11,4.5479,3.3845,5.1553
12,5.7666,5.7641,4.7272
13,6.9646,4.4328,4.1202
14,2.4542,5.3823,3.9622
15,5.3768,2.5186,3.7898
16,5.3389,4.7691,3.1098
17,6.6974,4.2179,3.0488
18,4.9189,5.9221,3.8028
19,4.6618,5.5810,4.8643
20,6.3627,4.8366,5.0277
21,4.3526,4.7469,2.6685
22,8.3667,4.1859,4.5370
23,3.9562,5.3225,3.7231
24,6.4281,5.3038,3.7567
25,3.2012,4.3746,5.4471
26,3.8701,3.3808,4.1418
27,6.6647,2.9616,3.5422
28,6.8803,5.8145,4.7421
29,5.6361,2.7476,4.8517
30,5.9303,4.4168,2.3274
31,7.5678,4.9461,5.0777
32,3.9989,4.5377,4.7398
33,5.0578,3.5204,4.1439
34,5.4806,4.9893,4.1146
35,5.4445,3.3581,6.0096
36,6.2484,3.5831,4.4054
37,3.3823,5.4717,4.6754
38,4.4238,4.3318,3.9129
39,5.1824,4.2190,4.9606
0,7.2272,3.6905,4.8468
1,5.8686,2.4211,2.7799
2,3.1314,4.4777,3.9708
3,5.6974,3.8417,3.3689
4,5.4691,5.7480,2.6702
5,6.5643,3.7093,5.7410
6,4.5244,3.2747,3.1270
7,7.6804,3.7279,3.8042
8,3.6507,3.9614,3.1109
9,7.7569,3.7002,2.7029
10,7.6612,5.1894,3.8664
11,4.4904,3.3607,5.0832
12,5.7665,5.7641,4.7272
13,6.9645,4.4328,4.1202
14,2.4542,5.3823,3.9622
15,5.3768,2.5185,3.7898
16,5.2434,4.7890,3.1530
17,6.6973,4.2179,3.0488
18,4.9012,5.9028,3.7768
19,4.6618,5.5810,4.8643
20,6.3229,4.7503,5.0468
21,4.3525,4.7469,2.6685
22,8.3635,4.1897,4.5283
23,3.9562,5.3225,3.7231
24,6.4280,5.3038,3.7566
25,3.2011,4.3746,5.4470
26,3.8700,3.3808,4.1417
27,6.6647,2.9616,3.5421
28,6.8803,5.8144,4.7421
29,5.6404,2.7466,4.8702
30,5.9303,4.4168,2.3274
31,7.4995,4.7883,4.9875
32,3.9956,4.5189,4.7727
33,5.0577,3.5204,4.1439
34,5.4806,4.9892,4.1146
35,5.3361,3.4733,5.7631
36,6.2262,3.5861,4.4325
37,3.3823,5.4717,4.6753
38,4.4237,4.3318,3.9129
39,5.1824,4.2190,4.9606
0,7.2272,3.6905,4.8468
1,5.7695,2.6983,2.6357
2,3.1314,4.4777,3.9708
3,5.6973,3.8417,3.3689
4,5.6939,5.6476,2.7578
5,6.5643,3.7093,5.7410
6,4.5244,3.2747,3.1270
7,7.6318,3.6820,3.8066
8,3.6506,3.9614,3.1108
9,7.7114,3.7733,2.6584
10,7.6611,5.1894,3.8664
11,4.4904,3.3607,5.0832
12,5.7665,5.7641,4.7271
13,6.9645,4.4328,4.1201
14,2.5955,5.3819,3.8820
15,5.3768,2.5185,3.7898
16,5.2434,4.7890,3.1530
17,6.6973,4.2179,3.0488
18,4.9027,5.8585,3.7442
19,4.6618,5.5810,4.8643
20,6.1977,4.6110,4.8398
21,4.3525,4.7469,2.6685
22,8.3635,4.1897,4.5283
23,3.9562,5.3224,3.7231
24,6.4280,5.3038,3.7566
25,3.1870,3.6603,5.2246
26,3.8700,3.3808,4.1417
27,6.6646,2.9616,3.5421
28,6.8802,5.8144,4.7420
29,5.6404,2.7465,4.8702
30,5.9302,4.4168,2.3274
31,7.4703,4.8146,5.0278
32,3.9956,4.5189,4.7727
33,5.0577,3.5204,4.1438
34,5.4805,4.9892,4.1146
35,5.1483,3.5291,2.2258
36,6.2262,3.5861,4.4325
37,3.3823,5.4717,4.6753
38,4.4237,4.3317,3.9128
39,5.1824,4.2189,4.9606
0,7.2272,3.6904,4.8467
1,5.7652,2.7182,2.6628
2,3.1314,4.4777,3.9708
3,5.6973,3.8417,3.3689
4,5.6938,5.6475,2.7578
5,6.5643,3.7093,5.7409
6,4.5243,3.2746,3.1270
7,7.6317,3.6820,3.8065
8,3.6506,3.9614,3.1108
9,7.3623,5.0207,2.4634
10,7.6611,5.1894,3.8664
11,4.4903,3.3607,5.0832
12,5.7665,5.7640,4.7271
13,6.9644,4.4327,4.1201
14,5.2463,3.0543,6.0737
15,5.3768,2.5185,3.7898
16,5.2493,4.7815,3.1685
17,6.6973,4.2179,3.0488
18,4.9151,5.8480,3.7562
19,4.6618,5.5809,4.8643
20,6.1977,4.6110,4.8398
21,4.3525,4.7468,2.6685
22,8.3634,4.1897,4.5283
23,3.9562,5.3224,3.7231
24,6.4280,5.3037,3.7566
