STEP,V
0,1000.0000
1000,999.9865
2000,999.9709
3000,999.9586
4000,999.9427
5000,999.9286
6000,999.9145
7000,999.9013
8000,999.8794
9000,999.8611
10000,999.8449
11000,999.8320
12000,999.8152
13000,999.7984
14000,999.7819
15000,999.7687
16000,999.7549
17000,999.7426
18000,999.7300
19000,999.7159
20000,999.7006
21000,999.6856
22000,999.6710
23000,999.6563
24000,999.6398
25000,999.6233
26000,999.6074
27000,999.5942
28000,999.5795
29000,999.5648
30000,999.5501
