STEP,V
0,1000.0000
1000,999.9838
2000,999.9730
3000,999.9580
4000,999.9442
5000,999.9316
6000,999.9172
7000,999.9025
8000,999.8902
9000,999.8740
10000,999.8572
11000,999.8419
12000,999.8305
13000,999.8116
14000,999.7954
15000,999.7810
16000,999.7690
17000,999.7537
18000,999.7399
19000,999.7225
20000,999.7033
21000,999.6880
22000,999.6764
23000,999.6644
24000,999.6473
25000,999.6338
26000,999.6206
27000,999.6041
28000,999.5864
29000,999.5729
30000,999.5561
