STEP,E
0,537.1346
1000,-15.4911
2000,-4.0730
3000,-2.6072
4000,11.0742
5000,5.1481
6000,-17.3791
7000,-15.2953
8000,54.5824
9000,-8.3089
10000,5.3941
11000,-11.2214
12000,-18.9081
13000,116.6108
14000,63.0273
15000,6.7976
16000,-12.1055
17000,42.1947
18000,6.3927
19000,-11.2826
20000,-0.6824
21000,231.7383
22000,-3.9312
23000,57.9508
24000,-2.4756
25000,-7.1299
26000,-6.1987
27000,22.5506
28000,-10.2427
29000,-12.0670
30000,-0.1439
