STEP,E
0,52.3497
1000,-21.3887
2000,-15.5556
3000,-15.7786
4000,-17.3024
5000,-17.9220
6000,-20.2924
7000,-13.4437
8000,-20.1066
9000,-22.9849
10000,-23.0272
11000,-16.4009
12000,-20.1402
13000,-17.8362
14000,-22.0996
15000,-21.0881
16000,-17.0363
17000,-15.0906
18000,-15.4405
19000,-19.0625
20000,-19.6215
21000,-19.9952
22000,-16.3164
23000,-21.4934
24000,-18.0910
25000,-19.6233
26000,-16.8672
27000,-22.1856
28000,-17.1740
29000,-17.3532
30000,-26.6956
