STEP,V
0,1000.0000
1000,999.9862
2000,999.9724
3000,999.9556
4000,999.9409
5000,999.9247
6000,999.9100
7000,999.8938
8000,999.8770
9000,999.8635
10000,999.8470
11000,999.8338
12000,999.8158
13000,999.7996
14000,999.7873
15000,999.7732
16000,999.7570
17000,999.7399
18000,999.7240
19000,999.7075
20000,999.6910
21000,999.6752
22000,999.6566
23000,999.6446
24000,999.6260
25000,999.6137
26000,999.5987
27000,999.5813
28000,999.5654
29000,999.5453
30000,999.5318
