STEP,X,Y
5000,0.8667,6.8994
5000,5.7555,4.8457
5000,3.4736,2.8139
5000,3.5115,4.1691
5000,6.0130,8.3041
5000,8.8171,3.9540
5000,6.3805,1.7682
5000,9.2324,5.0668
5000,7.7581,1.5258
5000,4.4402,0.4123
5000,7.3754,9.2054
5000,6.0508,5.4101
5000,0.2552,7.7771
5000,0.8952,7.7691
5000,5.0146,6.6513
5000,2.7167,3.6898
5000,2.5622,1.1440
5000,1.7065,1.2127
5000,5.2743,8.7102
5000,2.0558,8.6832
5000,6.9126,1.4102
5000,2.4369,9.5033
5000,9.8014,4.5915
6000,9.7328,7.1801
6000,7.1168,4.0183
6000,4.1211,8.7692
6000,1.5184,4.7172
6000,2.9383,2.9194
6000,9.8183,1.7275
6000,0.7571,7.9773
6000,5.8812,0.8057
6000,4.8393,0.7718
6000,0.5013,6.6753
6000,1.3821,2.3538
6000,0.9618,4.2124
6000,4.8402,2.2685
6000,2.3350,1.6039
6000,1.3217,6.1458
6000,4.7136,9.8554
6000,1.9488,1.8201
6000,9.7692,0.1210
6000,4.1564,7.4926
6000,2.5471,6.4326
6000,5.9910,2.2642
6000,3.8407,4.7115
6000,5.3776,9.1822
6000,4.3828,1.9539
6000,3.5834,7.1321
6000,4.9217,9.1406
6000,4.5282,3.4598
6000,3.1680,3.5512
6000,9.6201,3.1736
6000,0.4743,6.0462
6000,4.6057,1.1933
6000,3.6577,2.2819
6000,7.7130,5.3799
6000,0.7521,8.7310
6000,2.0952,2.4499
6000,0.5764,1.9999
6000,5.2724,2.5708
6000,6.0124,2.7759
6000,2.2045,7.5680
6000,9.8168,9.6610
7000,8.0325,6.8353
7000,5.6998,5.4878
7000,3.6845,3.6259
7000,5.8770,2.8585
7000,6.9710,3.8643
7000,2.4997,8.3020
7000,2.3098,2.8592
7000,9.1441,5.7074
7000,0.1875,7.0689
7000,0.1268,0.5439
7000,0.0726,9.5918
7000,0.3993,1.0070
7000,7.5756,2.3547
7000,9.9685,0.3457
7000,6.4288,3.6880
7000,4.4440,6.4284
7000,2.8716,2.2466
7000,3.2507,2.4904
7000,6.4856,9.6400
7000,4.7757,5.8559
7000,3.5197,2.7456
7000,4.4803,0.8138
7000,1.4673,5.8265
7000,2.8998,1.2768
7000,6.0721,1.3004
7000,7.2564,3.1558
7000,5.0909,9.4669
7000,0.0974,4.1979
7000,7.8231,3.0242
7000,2.8413,0.1061
7000,1.5309,5.3609
7000,5.3911,1.9628
7000,3.5362,4.0297
7000,7.2090,9.4754
7000,5.0873,3.3465
7000,7.6771,9.0246
7000,1.0425,4.6041
7000,5.9948,6.2711
7000,7.0674,0.6843
7000,6.8034,4.7950
8000,8.3281,9.4567
8000,1.6162,7.0041
8000,7.1903,5.4185
8000,7.5168,1.0757
8000,2.6650,2.4557
8000,6.3732,3.4509
8000,8.0525,8.9232
8000,2.0634,6.5049
8000,6.4374,6.6369
8000,3.0448,4.9035
8000,5.5356,7.1504
8000,1.6076,5.1049
8000,8.8408,0.2397
8000,7.6999,3.6723
8000,0.1079,8.8168
8000,8.9645,8.6989
8000,2.5827,9.8785
8000,3.7782,6.7245
8000,9.7680,5.0530
8000,4.4826,2.4239
8000,5.5011,6.4062
8000,1.9489,5.4209
8000,5.4032,5.0672
8000,7.4210,4.3248
8000,8.2320,7.4424
8000,0.4103,2.6488
8000,4.9577,3.4424
8000,4.7323,8.7320
8000,9.6257,9.2361
8000,9.6099,1.7596
8000,4.2859,6.0589
8000,6.8022,9.6116
8000,3.9674,8.2947
8000,8.7064,3.7616
8000,4.7556,4.6778
8000,4.3981,9.8219
8000,1.2385,6.1816
8000,9.6302,6.5441
8000,4.5748,1.1458
8000,0.4000,4.8919
9000,5.3006,9.7271
9000,8.8815,1.3635
9000,1.1919,7.1989
9000,7.9269,0.6673
