STEP,E
0,309223653.2367
1000,-38.5284
2000,-37.6477
3000,-11.6599
4000,-16.6828
5000,-37.1897
6000,-2.6094
7000,-32.5521
8000,-25.6967
9000,-36.3637
10000,-20.9317
11000,-33.9574
12000,-24.2056
13000,-25.3527
14000,-15.4490
15000,7.8196
16000,-45.4785
17000,-36.9671
18000,-35.1686
19000,-10.6006
20000,-33.9247
21000,-30.2520
22000,-8.6224
23000,-21.9903
24000,-36.0573
25000,-2.0716
26000,1.6821
27000,-29.3966
28000,-17.9224
29000,8.5077
30000,33.4183
