STEP,E
0,109815357.7476
1000,-81.9483
2000,-92.4950
3000,-100.0889
4000,-103.8593
5000,-106.9039
6000,-108.9651
7000,-111.9386
8000,-112.6851
9000,-114.3306
10000,-115.0683
11000,-115.5856
12000,-116.4319
13000,-117.2373
14000,-117.3973
15000,-117.6951
16000,-117.9898
17000,-119.0395
18000,-119.4836
19000,-119.6768
20000,-120.0792
21000,-120.5771
22000,-120.8247
23000,-120.9541
24000,-120.9820
25000,-121.0071
26000,-121.0524
27000,-121.6463
28000,-121.7935
29000,-121.8066
30000,-122.2321
